Status,City,State
delivered,sao paulo,SP
delivered,macae,RJ
delivered,capelinha,MG
delivered,rio de janeiro,RJ
delivered,osasco,SP
delivered,curitiba,PR
delivered,guarulhos,SP
delivered,atibaia,SP
delivered,espera feliz,MG
delivered,piracaia,SP
delivered,lencois paulista,SP
delivered,barueri,SP
delivered,santo antonio do descoberto,GO
delivered,juiz de fora,MG
delivered,salesopolis,SP
delivered,paragominas,PA
delivered,caxias do sul,RS
delivered,americana,SP
delivered,sao paulo,SP
delivered,curitiba,PR
delivered,gaucha do norte,MT
delivered,dores do indaia,MG
delivered,franca,SP
delivered,nao-me-toque,RS
shipped,paracatu,MG
delivered,trindade do sul,RS
delivered,lencois paulista,SP
delivered,itu,SP
delivered,curitiba,PR
delivered,ariquemes,RO
delivered,osorio,RS
delivered,brasilia,DF
shipped,camaragibe,PE
delivered,blumenau,SC
delivered,aruja,SP
delivered,mogi das cruzes,SP
delivered,serra do ramalho,BA
delivered,osasco,SP
delivered,sao paulo,SP
delivered,belo horizonte,MG
delivered,aracatuba,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,jau,SP
delivered,barueri,SP
delivered,governador valadares,MG
delivered,itapeva,SP
delivered,curitiba,PR
delivered,porto alegre do norte,MT
delivered,joao pinheiro,MG
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,varzea grande,MT
delivered,curitiba,PR
delivered,muriae,MG
delivered,sao paulo,SP
delivered,belo horizonte,MG
delivered,serra,ES
delivered,mato leitao,RS
delivered,sao paulo,SP
delivered,rio de janeiro,RJ
delivered,itapevi,SP
delivered,varzea paulista,SP
delivered,farroupilha,RS
delivered,palhoca,SC
delivered,ibirite,MG
delivered,sao miguel do araguaia,GO
delivered,sao paulo,SP
delivered,santa barbara d'oeste,SP
delivered,caxias do sul,RS
delivered,macapa,AP
delivered,ribeirao preto,SP
delivered,sao jose,SC
delivered,americana,SP
delivered,recife,PE
delivered,sao paulo,SP
delivered,coronel fabriciano,MG
delivered,palotina,PR
delivered,sao sebastiao do cai,RS
delivered,mairipora,SP
delivered,socorro,SP
delivered,sao paulo,SP
delivered,ouro branco,MG
delivered,sao paulo,SP
delivered,londrina,PR
delivered,tupa,SP
delivered,porto alegre,RS
delivered,rio de janeiro,RJ
delivered,pindamonhangaba,SP
delivered,sao paulo,SP
delivered,campo grande,MS
delivered,taubate,SP
delivered,vitoria,ES
delivered,rio de janeiro,RJ
delivered,passos,MG
delivered,campinas,SP
delivered,varginha,MG
delivered,itapagipe,MG
delivered,sao sebastiao,SP
delivered,balneario camboriu,SC
shipped,porto alegre,RS
delivered,uberaba,MG
delivered,engenheiro coelho,SP
delivered,biritiba-mirim,SP
delivered,rio de janeiro,RJ
delivered,curitiba,PR
delivered,pato branco,PR
delivered,belo horizonte,MG
delivered,sao paulo,SP
delivered,rolandia,PR
delivered,criciuma,SC
delivered,campinas,SP
delivered,jundiai,SP
delivered,guaruja,SP
delivered,paulinia,SP
delivered,caxias do sul,RS
delivered,varzea paulista,SP
delivered,sao paulo,SP
delivered,curitiba,PR
delivered,assis,SP
delivered,diadema,SP
delivered,niteroi,RJ
delivered,praia grande,SP
delivered,vitoria da conquista,BA
delivered,ribeirao preto,SP
delivered,mage,RJ
delivered,sao goncalo,RJ
delivered,carapicuiba,SP
delivered,marilia,SP
delivered,porto alegre,RS
delivered,sao paulo,SP
delivered,sao goncalo,RJ
delivered,americana,SP
delivered,curitiba,PR
delivered,sao paulo,SP
unavailable,sao bento do sul,SC
delivered,dias d'avila,BA
delivered,guaruja,SP
delivered,sorocaba,SP
delivered,sao lourenco,MG
delivered,indaiatuba,SP
delivered,sao paulo,SP
delivered,jatai,GO
delivered,itu,SP
delivered,sao paulo,SP
delivered,brasilia,DF
delivered,caruaru,PE
delivered,sao paulo,SP
delivered,campo grande,MS
delivered,rio grande,RS
delivered,praia grande,SP
delivered,nova iguacu,RJ
delivered,salvador,BA
delivered,santo amaro,BA
delivered,indaiatuba,SP
delivered,januaria,MG
delivered,cariacica,ES
delivered,cidreira,RS
delivered,palmas,TO
delivered,sao paulo,SP
delivered,itaquaquecetuba,SP
delivered,guarulhos,SP
delivered,cascavel,PR
delivered,itaperuna,RJ
delivered,catende,PE
delivered,osasco,SP
delivered,sao goncalo,RJ
delivered,sao paulo,SP
shipped,rio de janeiro,RJ
delivered,sao paulo,SP
delivered,atibaia,SP
delivered,berilo,MG
delivered,mirassol,SP
delivered,alpercata,MG
shipped,sao goncalo,RJ
delivered,itumbiara,GO
delivered,belem,PA
delivered,itapetininga,SP
delivered,iraucuba,CE
delivered,braganca paulista,SP
delivered,rio de janeiro,RJ
delivered,campinas,SP
delivered,ribeirao preto,SP
delivered,taubate,SP
delivered,rio de janeiro,RJ
delivered,jequie,BA
delivered,brasilia,DF
delivered,pedreira,SP
delivered,conchas,SP
delivered,juiz de fora,MG
delivered,santana de parnaiba,SP
delivered,sao paulo,SP
delivered,belo horizonte,MG
processing,sao paulo,SP
delivered,potirendaba,SP
delivered,camanducaia,MG
delivered,campinas,SP
delivered,osasco,SP
delivered,londrina,PR
delivered,nova odessa,SP
delivered,volta redonda,RJ
delivered,garuva,SC
shipped,cicero dantas,BA
delivered,marechal candido rondon,PR
delivered,sao paulo,SP
delivered,uberlandia,MG
delivered,curitiba,PR
delivered,rio de janeiro,RJ
delivered,ibirataia,BA
delivered,vila velha,ES
delivered,francisco morato,SP
delivered,sao paulo,SP
delivered,nova iguacu,RJ
delivered,cachoeiro de itapemirim,ES
delivered,alfredo chaves,ES
delivered,arapongas,PR
delivered,tres coracoes,MG
delivered,santa rita do sapucai,MG
delivered,andorinha,BA
delivered,jacarei,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,casa nova,BA
delivered,anapolis,GO
delivered,vitoria da conquista,BA
delivered,niteroi,RJ
delivered,guarulhos,SP
delivered,praia grande,SP
delivered,salvador,BA
delivered,belo horizonte,MG
delivered,irapua,SP
delivered,aguas lindas de goias,GO
delivered,sao paulo,SP
delivered,caruaru,PE
delivered,jaboticabal,SP
delivered,porto alegre,RS
delivered,sao paulo,SP
delivered,sao jose do rio preto,SP
delivered,rio de janeiro,RJ
delivered,itaguai,RJ
delivered,estrela,RS
delivered,fortaleza,CE
delivered,sao paulo,SP
shipped,itanhaem,SP
delivered,rio de janeiro,RJ
delivered,rio de janeiro,RJ
delivered,carapicuiba,SP
delivered,recife,PE
delivered,curitiba,PR
delivered,aracuai,MG
delivered,votorantim,SP
delivered,lages,SC
delivered,santos,SP
delivered,queimados,RJ
delivered,simoes filho,BA
delivered,acailandia,MA
delivered,novo hamburgo,RS
delivered,embu das artes,SP
delivered,salvador,BA
delivered,santa maria,RS
delivered,goiania,GO
delivered,taquari,RS
delivered,rolandia,PR
delivered,aracaju,SE
delivered,sao paulo,SP
delivered,guanhaes,MG
canceled,sao paulo,SP
delivered,brasilia,DF
delivered,ribeirao das neves,MG
delivered,suzano,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,carapicuiba,SP
delivered,londrina,PR
delivered,novo hamburgo,RS
delivered,sao goncalo,RJ
delivered,rio de janeiro,RJ
delivered,sao paulo,SP
delivered,paranagua,PR
delivered,taubate,SP
delivered,itauna,MG
delivered,jacarei,SP
delivered,santos,SP
delivered,ubatuba,SP
delivered,rio de janeiro,RJ
delivered,caruaru,PE
delivered,rio de janeiro,RJ
delivered,salvador,BA
delivered,sao paulo,SP
delivered,mesquita,RJ
delivered,salvador,BA
delivered,goiania,GO
delivered,itu,SP
delivered,curitiba,PR
delivered,cascavel,PR
delivered,sao paulo,SP
delivered,cacador,SC
delivered,salvador,BA
shipped,brasilia,DF
delivered,belo horizonte,MG
delivered,guarulhos,SP
delivered,rio bonito,RJ
delivered,catalao,GO
delivered,goiania,GO
delivered,tres lagoas,MS
delivered,sao paulo,SP
delivered,campos dos goytacazes,RJ
delivered,rio de janeiro,RJ
delivered,sao gabriel,RS
delivered,brasilia,DF
delivered,salvador,BA
delivered,sao paulo,SP
shipped,sao paulo,SP
delivered,alto sao joao,PR
delivered,serra,ES
delivered,cariacica,ES
delivered,sao paulo,SP
delivered,fortaleza,CE
delivered,castanheira,MT
delivered,natal,RN
delivered,goiania,GO
delivered,natividade,RJ
delivered,paranagua,PR
invoiced,rio de janeiro,RJ
delivered,teresina,PI
delivered,belem,PA
delivered,sao paulo,SP
delivered,visconde do rio branco,MG
delivered,recife,PE
delivered,sao caetano do sul,SP
delivered,januaria,MG
delivered,rio de janeiro,RJ
delivered,viradouro,SP
delivered,marilia,SP
delivered,floresta,PR
delivered,sao fidelis,RJ
delivered,brasilia,DF
delivered,recife,PE
delivered,sao paulo,SP
delivered,jequitinhonha,MG
delivered,sao goncalo,RJ
delivered,belo horizonte,MG
delivered,botucatu,SP
delivered,rio das ostras,RJ
delivered,santa luzia,MG
delivered,sao paulo,SP
delivered,pirassununga,SP
delivered,mesquita,RJ
delivered,tres pontas,MG
delivered,sao paulo,SP
delivered,osasco,SP
delivered,sao paulo,SP
delivered,palmas,PR
delivered,sao paulo,SP
delivered,coromandel,MG
delivered,sao paulo,SP
delivered,paracatu,MG
delivered,baixo guandu,ES
delivered,fortaleza,CE
delivered,jandira,SP
delivered,santa maria madalena,RJ
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,campinas,SP
delivered,uberlandia,MG
delivered,pereira barreto,SP
delivered,goiania,GO
delivered,apucarana,PR
delivered,contagem,MG
delivered,santa juliana,MG
delivered,promissao,SP
delivered,sao paulo,SP
delivered,mira estrela,SP
delivered,leopoldo de bulhoes,GO
delivered,limeira,SP
delivered,mario campos,MG
delivered,parauna,GO
delivered,januaria,MG
delivered,sao paulo,SP
delivered,avanhandava,SP
delivered,sao paulo,SP
delivered,aracaju,SE
delivered,rio de janeiro,RJ
delivered,guarulhos,SP
delivered,rio de janeiro,RJ
delivered,belo horizonte,MG
delivered,campinas,SP
delivered,dourados,MS
delivered,guarulhos,SP
delivered,cacapava,SP
delivered,anapolis,GO
delivered,luziania,GO
delivered,porto alegre,RS
delivered,pelotas,RS
delivered,caceres,MT
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,jundiai,SP
delivered,poa,SP
delivered,sao paulo,SP
delivered,apucarana,PR
delivered,americano do brasil,GO
delivered,sao paulo,SP
delivered,mogi das cruzes,SP
delivered,porto alegre,RS
delivered,rio bonito do iguacu,PR
delivered,sao jose dos campos,SP
delivered,sao jose do rio preto,SP
shipped,belem,PA
delivered,sao paulo,SP
delivered,uberlandia,MG
delivered,sao paulo,SP
delivered,sao luis,MA
delivered,sorocaba,SP
delivered,conchas,SP
delivered,sao paulo,SP
delivered,porto alegre,RS
delivered,rio grande,RS
delivered,itapetinga,BA
delivered,rio verde,GO
delivered,dracena,SP
delivered,sao paulo,SP
delivered,itaquaquecetuba,SP
delivered,curitiba,PR
delivered,campos dos goytacazes,RJ
delivered,jundiai,SP
delivered,rio pardo de minas,MG
delivered,curitiba,PR
delivered,itambe,BA
delivered,campinas,SP
delivered,santana de parnaiba,SP
delivered,florianopolis,SC
delivered,taiuva,SP
delivered,sao paulo,SP
delivered,itaquaquecetuba,SP
delivered,valinhos,SP
delivered,serra,ES
delivered,carapicuiba,SP
delivered,irece,BA
delivered,barueri,SP
delivered,quatis,RJ
delivered,sao paulo,SP
delivered,arari,MA
delivered,volta redonda,RJ
delivered,itaquaquecetuba,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,chapeco,SC
delivered,taubate,SP
delivered,alto araguaia,MT
delivered,montes claros,MG
shipped,salvador,BA
delivered,brasilia,DF
delivered,confresa,MT
unavailable,praia grande,SP
delivered,sao jose dos campos,SP
delivered,ouroeste,SP
delivered,linhares,ES
delivered,rancharia,SP
delivered,mogi das cruzes,SP
delivered,encantado,RS
delivered,belo horizonte,MG
delivered,brasilia,DF
delivered,sorocaba,SP
delivered,nova friburgo,RJ
delivered,vila velha,ES
delivered,santo andre,SP
delivered,piracicaba,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,santa rosa,RS
delivered,parnamirim,RN
delivered,belo horizonte,MG
delivered,contagem,MG
delivered,paraibano,MA
delivered,piracicaba,SP
delivered,taubate,SP
delivered,brasilia,DF
delivered,sao paulo,SP
delivered,santa maria,RS
canceled,diadema,SP
delivered,divinopolis,MG
delivered,niteroi,RJ
delivered,cachoeirinha,RS
delivered,belo horizonte,MG
delivered,colatina,ES
delivered,petropolis,RJ
delivered,curitiba,PR
delivered,atibaia,SP
delivered,aruja,SP
delivered,pouso alegre,MG
delivered,taubate,SP
delivered,maceio,AL
delivered,itatiba,SP
delivered,nova iguacu,RJ
delivered,jundiai,SP
delivered,colatina,ES
delivered,embu das artes,SP
delivered,sao paulo,SP
delivered,boa esperanca,MG
delivered,embu-guacu,SP
delivered,campos dos goytacazes,RJ
delivered,jacarei,SP
delivered,bom jesus dos perdoes,SP
delivered,sao bernardo do campo,SP
delivered,sao paulo,SP
delivered,campinas,SP
delivered,sao bernardo do campo,SP
delivered,pelotas,RS
delivered,salvador,BA
delivered,campos borges,RS
delivered,salvador,BA
delivered,belo horizonte,MG
delivered,formosa,GO
delivered,jacarei,SP
delivered,planalto,PR
delivered,vitoria,ES
delivered,santos,SP
delivered,limeira,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,nova iguacu,RJ
delivered,cristina,MG
delivered,belo horizonte,MG
delivered,ribeirao pires,SP
delivered,fortaleza,CE
delivered,campinas,SP
delivered,balneario camboriu,SC
delivered,massape,CE
delivered,guaraquecaba,PR
delivered,francisco morato,SP
delivered,guarulhos,SP
delivered,curitiba,PR
delivered,porto alegre,RS
delivered,duque de caxias,RJ
delivered,sao paulo,SP
delivered,rio das ostras,RJ
delivered,porangatu,GO
delivered,campinas,SP
delivered,botucatu,SP
delivered,viana,ES
delivered,brasilia,DF
delivered,luis eduardo magalhaes,BA
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,belford roxo,RJ
delivered,sao paulo,SP
delivered,macae,RJ
delivered,santo eduardo,RJ
delivered,sao jose do rio preto,SP
delivered,ipatinga,MG
delivered,curitiba,PR
delivered,taboao da serra,SP
delivered,votuporanga,SP
unavailable,sao paulo,SP
delivered,sao paulo,SP
delivered,marica,RJ
delivered,rio de janeiro,RJ
delivered,sao paulo,SP
delivered,tres coroas,RS
delivered,paracatu,MG
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,santa maria da vitoria,BA
delivered,sao leopoldo,RS
delivered,matao,SP
delivered,leme,SP
delivered,guarulhos,SP
delivered,caxias do sul,RS
delivered,viamao,RS
delivered,paranagua,PR
delivered,salvador,BA
delivered,tibagi,PR
delivered,sao paulo,SP
delivered,nova iguacu,RJ
delivered,boituva,SP
delivered,capivari,SP
delivered,rio de janeiro,RJ
delivered,guarulhos,SP
delivered,maceio,AL
delivered,sao lourenco da mata,PE
delivered,sao paulo,SP
delivered,nepomuceno,MG
shipped,goiania,GO
delivered,niteroi,RJ
delivered,sumare,SP
delivered,sao paulo,SP
delivered,maringa,PR
delivered,anapolis,GO
delivered,carapicuiba,SP
delivered,cotia,SP
delivered,cubatao,SP
delivered,breu branco,PA
delivered,pantano grande,RS
delivered,liberdade,MG
delivered,ilha dos valadares,PR
delivered,sao paulo,SP
delivered,rio pardo,RS
delivered,rio de janeiro,RJ
delivered,lajeado,TO
delivered,cotia,SP
delivered,salgado filho,PR
delivered,sao paulo,SP
delivered,teofilo otoni,MG
unavailable,paulo afonso,BA
delivered,maceio,AL
delivered,sao lourenco do sul,RS
delivered,araxa,MG
processing,santana de parnaiba,SP
delivered,sao paulo,SP
delivered,petropolis,RJ
delivered,canoas,RS
delivered,curitiba,PR
delivered,sao paulo,SP
delivered,paraiba do sul,RJ
delivered,joao pessoa,PB
delivered,braganca paulista,SP
delivered,cruzeiro,SP
delivered,rondonopolis,MT
delivered,imbe,RS
delivered,salvador,BA
delivered,guarulhos,SP
delivered,trancoso,BA
delivered,jatai,GO
delivered,blumenau,SC
delivered,sao paulo,SP
delivered,campinas,SP
delivered,sapucaia do sul,RS
delivered,rio de janeiro,RJ
delivered,sao caetano do sul,SP
delivered,ribeirao preto,SP
delivered,guarulhos,SP
delivered,varginha,MG
delivered,sao paulo,SP
delivered,bage,RS
delivered,sao paulo,SP
delivered,sao goncalo,RJ
delivered,maceio,AL
delivered,rio branco,AC
delivered,criciuma,SC
delivered,sao paulo,SP
delivered,guarulhos,SP
delivered,araras,SP
delivered,ji-parana,RO
delivered,serra,ES
delivered,sao paulo,SP
delivered,sao joao del rei,MG
delivered,natal,RN
delivered,valinhos,SP
delivered,colina,SP
delivered,tres barras,SC
delivered,sao paulo,SP
delivered,retirolandia,BA
delivered,teodoro sampaio,SP
delivered,bom jesus da lapa,BA
delivered,brasilia,DF
delivered,jaboatao dos guararapes,PE
delivered,sao paulo,SP
delivered,rio de janeiro,RJ
delivered,salvador,BA
delivered,duque de caxias,RJ
delivered,cunha,SP
delivered,sao carlos,SP
delivered,uruara,PA
delivered,vitoria de santo antao,PE
delivered,artur nogueira,SP
delivered,jacarezinho,PR
delivered,rio de janeiro,RJ
delivered,americana,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,primavera do leste,MT
delivered,brotas,SP
delivered,campo grande,MS
delivered,contagem,MG
delivered,calcado,PE
delivered,tapes,RS
delivered,nova iguacu,RJ
delivered,francisco morato,SP
delivered,curitiba,PR
delivered,nova iguacu,RJ
delivered,cachoeiro de itapemirim,ES
delivered,paulinia,SP
delivered,sao paulo,SP
delivered,indaiatuba,SP
delivered,mogi das cruzes,SP
delivered,ibicare,SC
delivered,pelotas,RS
delivered,campo grande,MS
delivered,garopaba,SC
delivered,sao paulo,SP
delivered,barretos,SP
delivered,rio de janeiro,RJ
delivered,gurupi,TO
delivered,campinas,SP
delivered,rolante,RS
delivered,sao paulo,SP
delivered,ribeirao preto,SP
delivered,alto paraiso de goias,GO
delivered,taboao da serra,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,rio de janeiro,RJ
delivered,suzano,SP
delivered,santa cruz das palmeiras,SP
delivered,conselheiro mairinck,PR
delivered,vitoria da conquista,BA
delivered,salvador,BA
delivered,sao luis,MA
delivered,sao joao da boa vista,SP
delivered,campinas,SP
delivered,abaete,MG
delivered,cabo frio,RJ
delivered,sao joao de meriti,RJ
delivered,macae,RJ
delivered,santo andre,SP
delivered,porto alegre,RS
delivered,biritiba-mirim,SP
delivered,sao paulo,SP
delivered,salvador,BA
delivered,janauba,MG
delivered,sao paulo,SP
delivered,sao leopoldo,RS
delivered,campinas,SP
delivered,porto ferreira,SP
delivered,itapira,SP
delivered,pelotas,RS
delivered,aimores,MG
delivered,brasilia,DF
delivered,sao paulo,SP
delivered,sao joaquim de bicas,MG
delivered,rio de janeiro,RJ
delivered,juiz de fora,MG
delivered,curitiba,PR
delivered,santos,SP
delivered,itajai,SC
delivered,duque de caxias,RJ
delivered,bom jesus dos perdoes,SP
delivered,rio de janeiro,RJ
delivered,sao jose dos campos,SP
delivered,queimados,RJ
delivered,itaquaquecetuba,SP
delivered,carpina,PE
delivered,ouroeste,SP
delivered,miradouro,MG
delivered,serra,ES
delivered,formosa,GO
delivered,valinhos,SP
delivered,belo horizonte,MG
delivered,sao paulo,SP
delivered,santa luzia,MG
delivered,sao paulo,SP
delivered,bauru,SP
delivered,rio de janeiro,RJ
delivered,jaragua do sul,SC
delivered,satubinha,MA
delivered,sao paulo,SP
delivered,belo horizonte,MG
delivered,porto alegre,RS
delivered,barra bonita,SP
delivered,diadema,SP
delivered,serra de sao bento,RN
delivered,brasilia,DF
delivered,rio de janeiro,RJ
delivered,quatigua,PR
delivered,ribeirao preto,SP
delivered,sao paulo,SP
delivered,campinas,SP
delivered,porto alegre,RS
delivered,rio de janeiro,RJ
delivered,nova xavantina,MT
delivered,rio de janeiro,RJ
delivered,sao paulo,SP
delivered,rio de janeiro,RJ
delivered,igrejinha,RS
delivered,rio de janeiro,RJ
delivered,barra bonita,SP
delivered,diadema,SP
delivered,sao paulo,SP
delivered,botucatu,SP
delivered,rio de janeiro,RJ
delivered,brasilia,DF
delivered,aracoiaba da serra,SP
delivered,sao paulo,SP
delivered,pocos de caldas,MG
delivered,presidente venceslau,SP
delivered,campinas,SP
delivered,sao paulo,SP
delivered,salvador,BA
delivered,limeira,SP
delivered,cabo frio,RJ
delivered,sao paulo,SP
delivered,sao luis do curu,CE
delivered,brasilia,DF
delivered,sao paulo,SP
delivered,caldas novas,GO
delivered,taboao da serra,SP
delivered,cornelio procopio,PR
delivered,curitiba,PR
delivered,campinas,SP
delivered,juiz de fora,MG
delivered,curitiba,PR
delivered,echapora,SP
delivered,rio de janeiro,RJ
delivered,palmas,PR
delivered,sorocaba,SP
delivered,praia grande,SP
delivered,pocos de caldas,MG
delivered,salvador,BA
delivered,porto alegre,RS
delivered,campinas,SP
delivered,extrema,MG
delivered,presidente prudente,SP
delivered,sao paulo,SP
delivered,jacarei,SP
delivered,sao paulo,SP
delivered,serrinha,BA
delivered,alagoinhas,BA
delivered,araxa,MG
delivered,campinas,SP
delivered,maringa,PR
delivered,cravinhos,SP
delivered,sao vicente,SP
delivered,quinta do sol,PR
delivered,mamanguape,PB
delivered,cajamar,SP
delivered,brejo santo,CE
delivered,brasilia,DF
delivered,monte mor,SP
delivered,humaita,AM
delivered,jacarei,SP
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,fortaleza,CE
delivered,resende,RJ
delivered,sao paulo,SP
delivered,cascavel,PR
delivered,sao paulo,SP
delivered,uniao da vitoria,PR
delivered,sao jose dos campos,SP
delivered,recife,PE
delivered,itaquaquecetuba,SP
delivered,bebedouro,SP
delivered,araxa,MG
delivered,sao joaquim do monte,PE
delivered,sao paulo,SP
delivered,itatiba,SP
delivered,jundiai,SP
delivered,varginha,MG
delivered,sao paulo,SP
delivered,itajai,SC
delivered,rio de janeiro,RJ
delivered,brasilia,DF
delivered,belo horizonte,MG
delivered,porto alegre,RS
delivered,uberlandia,MG
delivered,volta redonda,RJ
delivered,belem,PA
delivered,castelo,ES
delivered,sao paulo,SP
delivered,sao paulo,SP
delivered,guarulhos,SP
delivered,belem,PA
delivered,barra bonita,SP
delivered,taruma,SP
delivered,pocos de caldas,MG
delivered,juiz de fora,MG
delivered,sao paulo,SP
delivered,guarulhos,SP
delivered,sao paulo,SP
delivered,birigui,SP
delivered,sao paulo,SP
delivered,contagem,MG
shipped,brasilia,DF
delivered,tijucas,SC
delivered,ribeirao,PE
delivered,ponta grossa,PR
delivered,piracicaba,SP
delivered,fortaleza,CE
delivered,sao paulo,SP
delivered,alegrete,RS
delivered,dourados,MS
delivered,osasco,SP
delivered,bauru,SP
delivered,entre-ijuis,RS
delivered,rio de janeiro,RJ
delivered,sao paulo,SP
delivered,jaboatao dos guararapes,PE
delivered,porto alegre,RS
delivered,arroio do sal,RS
delivered,sao paulo,SP
delivered,rio de janeiro,RJ
delivered,itabuna,BA
delivered,teresina,PI
delivered,brasilia,DF
delivered,tucano,BA
delivered,sao jose da tapera,AL
delivered,belem,PA
delivered,cabo frio,RJ
delivered,sao paulo,SP
delivered,ponta grossa,PR
delivered,guarulhos,SP
delivered,analandia,SP
delivered,paranapua,SP
delivered,maringa,PR
delivered,botucatu,SP
delivered,jacarei,SP
delivered,brasilia,DF
delivered,criciuma,SC
delivered,rio de janeiro,RJ
delivered,sobral,CE
delivered,seara,SC
delivered,penha,SC
delivered,santo andre,SP
delivered,piumhii,MG
delivered,birigui,SP
delivered,rio de janeiro,RJ
delivered,rio de janeiro,RJ
delivered,belo horizonte,MG
delivered,atibaia,SP
delivered,sao paulo,SP
delivered,brasilia,DF
delivered,sao paulo,SP
delivered,belo horizonte,MG
delivered,sao paulo,SP
canceled,maringa,PR
delivered,fortaleza,CE
delivered,joao pessoa,PB
delivered,patos de minas,MG
delivered,jaboatao dos guararapes,PE
delivered,rio de janeiro,RJ
delivered,jundiai,SP
delivered,juiz de fora,MG
delivered,campos dos goytacazes,RJ
delivered,cariacica,ES
delivered,santa rosa de viterbo,SP
delivered,saudades,SC
delivered,praia grande,SP
delivered,sao paulo,SP
delivered,gravatai,RS
delivered,guanambi,BA
